Date,High,Low,Open,Close,Volume,Adj Close,Change,Pct_Chg
2008-01-02,7.1521430015563965,6.876785755157471,7.116785526275635,6.958571434020996,1079178800,6.013175010681152,0.15821409225463867,0.022231117078138993
2008-01-03,7.049643039703369,6.881785869598389,6.978928565979004,6.961785793304443,842066400,6.015953063964844,0.017142772674560547,0.0024563616767949766
2008-01-04,6.892857074737549,6.388928413391113,6.837500095367432,6.430356979370117,1455832000,5.556723117828369,0.40714311599731445,0.05954561028425631
2008-01-07,6.557142734527588,6.0796427726745605,6.473214149475098,6.344285488128662,2072193200,5.4823455810546875,0.12892866134643555,0.019917255689260668
2008-01-08,6.516428470611572,6.099999904632568,6.4335713386535645,6.1160712242126465,1523816000,5.285136699676514,0.31750011444091797,0.049350523640477
2008-01-09,6.410714149475098,6.010714054107666,6.117856979370117,6.407142639160156,1813882000,5.536662578582764,-0.28928565979003906,-0.04728545645403815
2008-01-10,6.464285850524902,6.264642715454102,6.3421430587768555,6.3578572273254395,1482975200,5.494073867797852,-0.015714168548583984,-0.0024777379511862693
2008-01-11,6.351785659790039,6.0714287757873535,6.285714149475098,6.167500019073486,1232285600,5.329577922821045,0.11821413040161133,0.0188067938806099
2008-01-14,6.4078569412231445,6.2560715675354,6.340000152587891,6.385000228881836,1100450400,5.5175275802612305,-0.04500007629394531,-0.00709780366102625
2008-01-15,6.40071439743042,5.880714416503906,6.347142696380615,6.037142753601074,2343278000,5.2169318199157715,0.309999942779541,0.04884086550572038
2008-01-16,6.036071300506592,5.596428394317627,5.901071548461914,5.701428413391113,2213845200,4.926827430725098,0.19964313507080078,0.03383167504939621
2008-01-17,5.905714511871338,5.6578569412231445,5.768214225769043,5.7460713386535645,1757859600,4.965404987335205,0.022142887115478516,0.003838776829153971
2008-01-18,5.919642925262451,5.700356960296631,5.775357246398926,5.762856960296631,1724343600,4.9799113273620605,0.012500286102294922,0.0021644178133030907
2008-01-22,5.713571548461914,5.214285850524902,5.2878570556640625,5.5585713386535645,2434754000,4.803378105163574,-0.27071428298950195,-0.05119546162835995
2008-01-23,5.0,4.505000114440918,4.86392879486084,4.966785907745361,3372969600,4.291995048522949,-0.10285711288452148,-0.02114691995351554
2008-01-24,5.025000095367432,4.7146430015563965,4.999642848968506,4.842857360839844,2005866800,4.184902667999268,0.1567854881286621,0.031359337629688705
2008-01-25,4.96750020980835,4.6289286613464355,4.963928699493408,4.643214225769043,1554739200,4.012383460998535,0.32071447372436523,0.06460900088212299
2008-01-28,4.757143020629883,4.516071319580078,4.577142715454102,4.643214225769043,1474844000,4.012383460998535,-0.0660715103149414,-0.014435099454482797
2008-01-29,4.742499828338623,4.608928680419922,4.683928489685059,4.69785737991333,1099982800,4.059603691101074,-0.013928890228271484,-0.0029737623575905713
2008-01-30,4.837500095367432,4.642857074737549,4.69178581237793,4.720714092254639,1243051600,4.079355239868164,-0.028928279876708984,-0.006165729006722776
2008-01-31,4.880357265472412,4.621428489685059,4.623214244842529,4.834285736083984,1345674400,4.177495956420898,-0.21107149124145508,-0.04565470689075634
2008-02-01,4.878214359283447,4.720714092254639,4.865714073181152,4.776785850524902,1010744000,4.127808570861816,0.08892822265625,0.01827649987622673
2008-02-04,4.85357141494751,4.6935715675354,4.793214321136475,4.701785564422607,899234000,4.0629963874816895,0.09142875671386719,0.01907462312100189
2008-02-05,4.785714149475098,4.60357141494751,4.658214092254639,4.619999885559082,1141042000,3.992323160171509,0.03821420669555664,0.008203617510645684
